5IM,GMG GLOBAL LTD
KU3,GOLDEN OCEAN GROUP LIMITED
5PC,GOODLAND GROUP LIMITED
G05,GOODPACK LIMITED
G20,GP INDUSTRIES LIMITED
G07,GREAT EASTERN HLDGS LTD
I5H,GREAT GROUP HOLDINGS LIMITED
J16,GSH CORPORATION LIMITED
G21,GUANGZHAO IND FOREST BIOGRPLTD
F17,GUOCOLAND LIMITED
B16,GUOCOLEISURE LIMITED
G33,GUTHRIE GTS LTD
5VS,HAFARY HOLDINGS LIMITED
GG7,HAI LECK HOLDINGS LIMITED
5VJ,HALCYON AGRI CORPORATION LTD
B22,HANKORE ENVIRONMENT TEC GRPLTD
DM0,HANWELL HOLDINGS LIMITED
5FU,HARTAWAN HLDGS LTD
H02,HAW PAR CORP LTD
S2W,HAW PAR CORP LTD 1
588,HEALTH MANAGEMENT INTL LTD
5NG,HEALTHWAY MEDICAL CORP LTD
5OR,HEATEC JIETONG HOLDINGS LTD.
5DP,HEETON HOLDINGS LIMITED
I85,HENGXIN TECHNOLOGY LTD.
5PD,HENGYANG PETROCHEM LOG LIMITED
526,HG METAL MANUFACTURING LTD
5JK,HIAP HOE LIMITED
510,HIAP SENG ENGINEERING LTD
5PO,HIAP TONG CORPORATION LTD.
H17,HI-P INTERNATIONAL LIMITED
FV2,HISAKA HOLDINGS LTD.
L18,HL GLOBAL ENTERPRISES LIMITED
H27,HLH GROUP LIMITED
H13,HO BEE INVESTMENT LIMITED
J2T,HOCK LIAN SENG HOLDINGS LTD
H20,HOE LEONG CORPORATION LTD.
H30,HONG FOK CORPORATION LTD
H22,HONG LEONG ASIA LTD.
S41,HONG LEONG FINANCE LIMITED
H78,HONGKONG LAND HOLDINGS LIMITED
H80,HONGWEI TECHNOLOGIES LIMITED
H06,HOR KEW CORPORATION LIMITED
5EV,HOSEN GROUP LTD
H18,HOTEL GRAND CENTRAL LTD
H15,HOTEL PROPERTIES LTD
H12,HOTEL ROYAL LTD
NT1,HOTUNG INVESTMENT HLDGS LTD
H64,HTL INT'L HOLDINGS LIMITED
KI3,HU AN CABLE HOLDINGS LTD.
H16,HUAN HSIN HOLDINGS LTD
H73,HUPSTEEL LTD
P7VU,HUTCHISON PORT HLDGS TRUST S$
NS8U,HUTCHISON PORT HOLDINGS TRUST
H19,HWA HONG CORPORATION LIMITED
N2H,HYFLUX 6% CUM PREF CLASS A 10
600,HYFLUX LTD
536,ICP LTD
5TN,IEV HOLDINGS LIMITED
I49,IFS CAPITAL LIMITED
F3EU,INDIABULLS PROPERTIES INVTRUST
5JS,INDOFOOD AGRI RESOURCES LTD.
5CS,INFINIO GROUP LIMITED
I26,INNOPAC HOLDINGS LIMITED
M14,INNOTEK LIMITED
591,INNOVALUES LIMITED
571,INTERNATIONAL PRESS SOFTCOM
N6H,INTERNET TECHNOLOGY GRP LTD
5GI,INTERRA RESOURCES LIMITED
I06,INTRACO LIMITED
I12,IPC CORPORATION LIMITED
I11,IPCO INT'L LIMITED
I98,IS MSCI INDIA 100
QK9,IS MSCI INDIA 100 S$
I07,ISDN HOLDINGS LIMITED
I15,ISETAN (SINGAPORE) LTD
O9Q,ISHARES ASIA LC 1-3Y BOND ETF
QL0,ISHARES ASIA LC1-3YBOND ETF S$
N6L,ISHARES ASIA LOC CUR BOND ETF
QL1,ISHARES ASIALOC CURBOND ETF S$
N6M,ISHARES USD ASIA BOND ETF
QL2,ISHARES USD ASIA BOND ETF S$
O9P,ISHARES USD ASIA HY BOND ETF
QL3,ISHARES USD ASIA HY BOND ETFS$
5EC,ISR CAPITAL LIMITED
J11,JACKS INTERNATIONAL LIMITED
J17,JACKSPEED CORPORATION LIMITED
J03,JADASON ENTERPRISES LTD
5OI,JAPAN FOODS HOLDING LTD.
C07,JARDINE CYCLE & CARRIAGE LTD
J36,JARDINE MATHESON HLDGS LTD
J37,JARDINE STRATEGIC HLDGS LTD
5PF,JASON MARINE GROUP LIMITED
5UU,JASON PARQUET HOLDINGS LIMITED
FQ7,JASPER INVESTMENTS LIMITED
J10,JAYA HOLDINGS LTD
Q0W,JB FOODS LIMITED
5FA,JEP HOLDINGS LTD.
EG0,JES INTERNATIONAL HOLDINGS LTD
J19,JETS TECHNICS INTL HLDGS LTD
C8R,JIUTIAN CHEMICAL GROUP LIMITED
5TS,JK TECH HOLDINGS LIMITED
E9L,JOYAS INTERNATIONAL HLDGS LTD
5OS,JUBILEE INDUSTRIES HLDGS LTD.
K01,K1 VENTURES LIMITED
K29,KARIN TECHNOLOGY HLDGS LIMITED
F9M,KENCANA AGRI LIMITED
5TT,KEONG HONG HOLDINGS LIMITED
BN4,KEPPEL CORPORATION LIMITED
K17,KEPPEL LAND LIMITED
K71U,KEPPEL REIT
S2FU,KEPPEL REIT 100
K11,KEPPEL TELE & TRAN
LH4U,K-GREEN TRUST
K03,KHONG GUAN FLOUR MILLING LTD
K22,KIAN HO BEARINGS LTD
554,KING WAN CORPORATION LIMITED
K14,KINGBOARD COPPER FOIL HDGS LTD
5MZ,KINGSMEN CREATIVES LTD
5TI,KITCHEN CULTURE HOLDINGS LTD.
504,KLW HOLDINGS LTD
5BK,KODA LTD
K75,KOH BROTHERS GROUP LIMITED
5DL,KOON HOLDINGS LIMITED
5VC,KORI HOLDINGS LIMITED
5OC,KOYO INTERNATIONAL LIMITED
5RK,KREUZ HOLDINGS LIMITED
578,KS ENERGY LIMITED
ER0,KSH HOLDINGS LIMITED
EB7,KTL GLOBAL LIMITED
K07,KXD DIGITAL ENTERTAINMENT LTD
L38,L.C.DEVELOPMENT LTD
L05,LAFE CORPORATION LIMITED
L22,LANKOM ELECTRONICS LIMITED
Q7W,LANTROVISION (S) LTD
5EL,LASSETERS INTL HOLDINGS LTD
5OY,LATITUDE TREE INTL GROUP LTD.
LS9,LEADER ENVIRONMENTAL TECH LTD
L25,LEE KIM TAH HLDGS LIMITED
593,LEE METAL GROUP LTD
587,LERENO BIO-CHEM LTD.
Q0X,LEY CHOON GROUP HLDG LIMITED
C4P,LH GROUP LIMITED
L10,LHT HOLDINGS LIMITED
E9A,LI HENG CHEM FIBRE TECH LTD
L03,LIAN BENG GROUP LTD
5TR,LIBRA GROUP LIMITED
L20,LIFEBRANDZ LTD.
5FW,LINAIR TECHNOLOGIES LIMITED
L15,LINDETEVES-JACOBERG LTD
L08,LION ASIAPAC LTD
L17,LION TECK CHIANG LTD
A78,LIONGOLD CORP LTD
R5UW,LIONGOLD CORP LTD W151217
D5IU,LIPPO MALLS INDO RETAIL TRUST
E94,LIZHONG WHEEL GROUP LTD.
